ID,Is_Product_Details_viewed,Session_Activity_Count,No_Items_Added_InCart,No_Items_Removed_FromCart,No_Cart_Viewed,No_Checkout_Confirmed,No_Checkout_Initiated ,No_Cart_Items_Viewed,No_Customer_Login,No_Page_Viewed,Customer_Segment_Type,Cart_Abandoned
Session_ID_110,No,42,31,0,2,0,1,7,0,1,1,1
Session_ID_111,Yes,3,1,0,1,0,0,0,0,0,0,1
Session_ID_112,No,1,0,0,1,0,0,0,0,0,0,1
Session_ID_113,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_114,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_115,No,13,6,0,2,0,1,3,0,1,1,1
Session_ID_116,Yes,16,14,0,0,0,0,0,0,2,1,1
Session_ID_117,No,15,5,1,1,1,1,3,1,2,1,1
Session_ID_118,No,10,4,0,0,1,1,1,1,1,1,0
Session_ID_119,No,5,0,0,0,0,1,0,1,3,0,1
Session_ID_120,No,10,2,0,2,0,2,4,0,0,0,1
Session_ID_121,Yes,4,1,0,0,0,0,1,0,1,0,1
Session_ID_122,No,20,13,0,2,0,1,1,0,3,1,1
Session_ID_123,Yes,3,1,0,1,0,0,1,0,0,0,1
Session_ID_124,No,25,2,0,1,0,1,20,0,0,0,1
Session_ID_125,Yes,20,7,2,0,0,0,7,0,3,2,1
Session_ID_126,No,7,1,0,1,0,0,5,0,0,0,1
Session_ID_127,No,21,9,0,8,0,0,3,0,1,1,1
Session_ID_128,No,14,2,0,6,1,2,0,0,3,0,0
Session_ID_129,Yes,32,10,9,2,0,0,1,0,6,2,1
Session_ID_130,No,1,0,0,1,0,0,0,0,0,0,1
Session_ID_131,Yes,17,0,0,1,0,0,1,0,2,0,1
Session_ID_132,No,15,3,3,1,0,0,2,0,4,2,1
Session_ID_133,No,10,6,0,0,0,1,1,0,2,1,1
Session_ID_134,No,18,4,0,2,1,1,4,0,1,1,0
Session_ID_135,No,21,0,0,3,0,1,1,0,5,0,1
Session_ID_136,No,9,3,0,2,0,1,1,0,2,1,1
Session_ID_137,Yes,28,12,5,2,0,0,3,0,3,2,1
Session_ID_138,No,11,0,0,2,2,5,2,0,0,0,0
Session_ID_139,No,6,0,0,3,0,1,0,0,2,0,1
Session_ID_140,No,7,3,0,0,0,1,1,0,2,1,1
Session_ID_141,No,4,0,0,1,0,3,0,0,0,0,1
Session_ID_142,No,9,3,1,1,0,1,1,0,2,1,1
Session_ID_143,Yes,5,1,0,0,0,0,2,0,1,0,1
Session_ID_144,No,34,9,10,7,0,0,3,0,4,2,1
Session_ID_145,No,25,15,0,1,0,1,3,1,4,1,1
Session_ID_146,No,10,4,1,1,0,1,1,0,2,1,1
Session_ID_147,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_148,No,12,4,0,1,0,0,3,0,1,1,1
Session_ID_149,No,23,2,4,3,1,3,1,0,9,2,0
Session_ID_150,Yes,7,1,0,0,0,0,2,0,1,0,1
Session_ID_151,Yes,2,0,0,0,0,0,0,0,1,0,1
Session_ID_152,No,1,0,0,0,0,1,0,0,0,0,1
Session_ID_153,Yes,7,3,0,1,0,1,0,0,2,1,1
Session_ID_154,No,31,10,13,2,0,1,1,1,2,2,1
Session_ID_155,No,10,3,0,1,0,1,2,0,2,1,1
Session_ID_156,No,8,1,1,2,0,1,0,1,2,0,1
Session_ID_157,No,7,0,0,0,0,0,1,0,3,0,1
Session_ID_158,No,21,12,0,3,0,0,5,0,0,1,1
Session_ID_159,Yes,32,17,10,1,0,0,2,0,1,2,1
Session_ID_160,No,3,0,0,1,0,0,2,0,0,0,1
Session_ID_161,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_162,No,4,0,0,1,0,1,0,0,2,0,1
Session_ID_163,Yes,10,2,0,0,0,1,1,0,0,0,1
Session_ID_164,No,10,4,0,1,0,1,2,0,1,1,1
Session_ID_165,Yes,11,3,0,1,0,1,2,0,3,1,1
Session_ID_166,No,20,14,0,3,0,0,3,0,0,1,1
Session_ID_167,No,13,8,0,1,0,1,1,0,2,1,1
Session_ID_168,Yes,15,6,0,0,0,0,0,0,9,1,1
Session_ID_169,No,11,0,0,0,1,1,1,0,1,0,0
Session_ID_170,Yes,9,4,0,0,0,0,1,0,1,1,1
Session_ID_171,No,15,2,0,1,1,1,2,0,7,0,0
Session_ID_172,No,55,0,0,29,0,3,14,0,0,0,1
Session_ID_173,No,7,0,0,2,0,1,2,0,2,0,1
Session_ID_174,No,6,0,0,2,0,1,2,0,1,0,1
Session_ID_175,No,14,1,0,2,0,1,1,0,3,0,1
Session_ID_176,No,12,6,0,0,1,1,1,1,1,1,1
Session_ID_177,No,23,2,3,4,0,4,1,1,8,2,1
Session_ID_178,Yes,8,5,0,1,0,0,1,0,1,1,1
Session_ID_179,No,14,3,1,5,0,2,0,0,3,1,1
Session_ID_180,No,15,10,0,1,0,0,1,0,2,1,1
Session_ID_181,No,13,1,0,0,0,2,4,1,5,0,1
Session_ID_182,No,7,0,0,1,0,1,0,0,2,0,1
Session_ID_183,No,4,1,0,1,0,1,1,0,0,0,1
Session_ID_184,Yes,6,2,0,1,0,0,1,0,0,0,1
Session_ID_185,No,1,1,0,0,0,3,0,0,3,0,1
Session_ID_186,No,5,1,0,1,0,2,1,0,0,0,1
Session_ID_187,No,21,6,0,3,0,0,10,0,0,1,1
Session_ID_188,Yes,4,2,0,0,0,0,1,0,1,0,1
Session_ID_189,No,5,0,0,1,0,1,2,0,1,0,1
Session_ID_190,No,4,0,0,1,0,1,1,0,1,0,1
Session_ID_191,No,9,1,0,0,0,1,5,0,0,0,1
Session_ID_192,No,1,0,0,0,0,0,3,0,6,0,1
Session_ID_193,No,41,12,3,3,0,4,1,1,13,2,1
Session_ID_194,No,7,2,0,1,0,1,1,1,1,0,1
Session_ID_195,No,8,4,0,0,0,1,1,0,2,1,1
Session_ID_196,Yes,18,6,0,2,0,0,1,0,7,1,1
Session_ID_197,No,16,0,0,5,0,0,10,0,0,0,1
Session_ID_198,No,18,0,0,3,0,1,2,0,3,0,1
Session_ID_199,No,2,0,0,0,0,1,1,0,0,0,1
Session_ID_200,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_201,No,30,4,0,4,0,3,2,1,15,1,1
Session_ID_202,Yes,9,2,0,0,0,3,3,0,1,0,1
Session_ID_203,Yes,3,1,0,1,0,0,0,0,1,0,1
Session_ID_204,No,52,0,0,4,0,1,8,0,11,0,1
Session_ID_205,No,5,1,0,0,0,1,0,0,3,0,1
Session_ID_206,No,23,10,0,1,0,1,2,0,9,1,1
Session_ID_207,No,8,1,0,0,1,2,3,0,1,0,0
Session_ID_208,No,108,3,0,1,1,1,2,0,4,1,0
Session_ID_209,Yes,4,2,1,0,0,0,0,0,0,0,1
Session_ID_210,Yes,14,4,0,1,0,0,2,0,7,1,1
Session_ID_211,No,10,0,0,1,0,1,1,0,1,0,1
Session_ID_212,No,36,3,0,0,1,1,0,1,1,1,0
Session_ID_213,Yes,10,2,3,0,1,1,0,0,3,2,0
Session_ID_214,No,10,1,0,1,1,2,1,1,2,0,0
Session_ID_215,No,10,2,0,2,0,2,1,0,3,0,1
Session_ID_216,Yes,21,4,0,3,0,2,2,1,3,1,1
Session_ID_217,No,21,0,0,0,1,2,1,0,3,0,0
Session_ID_218,Yes,8,3,0,1,0,0,4,0,0,1,1
Session_ID_219,No,13,1,0,1,2,2,5,0,1,0,0
Session_ID_220,Yes,65,16,11,1,0,0,2,0,6,2,1
Session_ID_221,No,6,3,0,1,0,0,2,0,0,1,1
Session_ID_222,No,9,5,0,1,0,0,1,0,1,1,1
Session_ID_223,No,5,1,0,1,0,0,1,0,1,0,1
Session_ID_224,No,23,4,4,1,0,0,1,0,7,2,1
Session_ID_225,No,41,10,1,4,0,1,3,1,12,1,1
Session_ID_226,No,12,0,0,4,0,1,2,0,0,0,1
Session_ID_227,No,7,0,0,2,0,1,2,0,1,0,1
Session_ID_228,No,12,8,0,0,0,1,1,0,2,1,1
Session_ID_229,Yes,3,1,0,1,0,0,1,0,0,0,1
Session_ID_230,Yes,91,16,7,11,0,4,5,2,8,2,1
Session_ID_231,Yes,18,8,0,1,0,1,3,0,0,1,1
Session_ID_232,Yes,16,9,0,0,0,0,1,0,4,1,1
Session_ID_233,Yes,4,1,0,1,0,0,1,0,0,0,1
Session_ID_234,No,57,5,40,1,1,1,2,1,1,2,0
Session_ID_235,No,27,13,0,1,0,1,2,0,9,1,1
Session_ID_236,No,15,0,0,1,0,1,1,0,3,0,1
Session_ID_237,Yes,3,1,0,1,0,0,1,0,0,0,1
Session_ID_238,No,10,0,0,9,0,0,0,0,1,0,1
Session_ID_239,No,8,3,0,1,0,1,1,0,2,1,1
Session_ID_240,Yes,7,3,0,1,0,0,0,0,3,1,1
Session_ID_241,No,12,3,0,3,2,1,3,0,0,1,0
Session_ID_242,Yes,38,3,32,1,0,0,1,0,1,2,1
Session_ID_243,No,7,1,0,0,0,0,1,0,3,0,1
Session_ID_244,No,15,4,0,1,1,1,1,1,1,1,1
Session_ID_245,Yes,9,5,0,1,0,0,1,0,1,1,1
Session_ID_246,No,23,1,1,1,0,0,10,0,10,0,1
Session_ID_247,Yes,6,2,0,0,0,0,2,0,2,0,1
Session_ID_248,Yes,11,0,0,0,0,0,1,0,2,0,1
Session_ID_249,Yes,16,4,1,1,0,4,0,0,6,1,1
Session_ID_250,No,22,3,3,7,1,3,1,1,3,2,0
Session_ID_251,No,6,0,0,1,0,2,3,0,0,0,1
Session_ID_252,Yes,15,6,2,0,0,1,2,0,3,2,1
Session_ID_253,No,65,30,11,5,0,3,3,1,11,2,1
Session_ID_254,No,29,10,4,1,0,1,2,1,8,2,1
Session_ID_255,No,10,1,2,1,1,2,0,1,2,0,0
Session_ID_256,Yes,14,5,0,1,0,0,3,0,1,1,1
Session_ID_257,No,30,13,6,3,0,0,3,0,2,2,1
Session_ID_258,No,6,1,0,0,0,1,2,0,1,0,1
Session_ID_259,No,28,0,0,3,0,2,1,0,7,0,1
Session_ID_260,Yes,17,7,2,2,0,1,2,0,2,2,1
Session_ID_261,Yes,15,5,0,1,0,0,8,0,0,1,1
Session_ID_262,No,7,1,0,1,0,0,4,0,1,0,1
Session_ID_263,No,15,2,0,0,1,3,1,1,5,0,0
Session_ID_264,No,9,3,0,1,0,1,1,1,2,1,1
Session_ID_265,Yes,25,11,0,0,0,1,4,0,3,1,1
Session_ID_266,No,5,1,0,0,0,1,2,0,1,0,1
Session_ID_267,Yes,6,1,2,2,0,0,0,0,1,0,1
Session_ID_268,Yes,8,1,0,0,0,0,2,0,2,0,1
Session_ID_269,No,11,1,0,0,0,2,6,0,2,0,1
Session_ID_270,No,5,0,0,1,0,1,0,0,2,0,1
Session_ID_271,No,9,0,0,3,1,2,0,0,3,0,0
Session_ID_272,No,5,1,0,0,0,1,1,0,2,0,1
Session_ID_273,No,32,5,1,6,2,4,2,0,12,1,0
Session_ID_274,No,12,5,0,1,1,1,1,1,1,1,0
Session_ID_275,No,16,6,0,0,0,3,2,1,1,1,1
Session_ID_276,Yes,9,1,0,1,0,1,2,0,3,0,1
Session_ID_277,Yes,16,1,0,1,0,0,4,0,9,0,1
Session_ID_278,No,6,1,0,2,0,1,0,0,2,0,1
Session_ID_279,No,11,6,0,1,0,1,1,0,2,1,1
Session_ID_280,No,23,7,3,2,0,0,0,0,0,2,1
Session_ID_281,No,8,0,0,0,0,2,2,0,2,0,1
Session_ID_282,Yes,7,2,0,1,0,0,1,0,0,0,1
Session_ID_283,No,3,0,0,0,0,1,0,0,2,0,1
Session_ID_284,Yes,4,1,0,0,0,0,1,0,1,0,1
Session_ID_285,No,43,7,0,1,0,0,3,0,5,1,1
Session_ID_286,No,9,3,0,2,0,1,1,0,1,1,1
Session_ID_287,No,7,1,1,2,0,1,0,0,2,0,1
Session_ID_288,Yes,30,10,0,2,0,0,12,0,2,1,1
Session_ID_289,No,12,4,0,0,0,0,1,0,5,1,1
Session_ID_290,Yes,40,11,0,3,0,2,4,0,9,1,1
Session_ID_291,Yes,9,2,0,0,0,0,1,0,4,0,1
Session_ID_292,No,4,0,0,3,0,0,1,0,0,0,1
Session_ID_293,No,26,2,4,7,0,1,2,0,3,2,1
Session_ID_294,No,24,12,0,4,0,2,1,0,3,1,1
Session_ID_295,No,7,2,0,0,1,1,1,1,1,0,0
Session_ID_296,No,9,7,0,0,0,1,1,0,0,1,1
Session_ID_297,No,5,1,0,0,0,0,2,0,2,0,1
Session_ID_298,No,8,3,0,0,0,1,1,1,1,1,1
Session_ID_299,No,9,4,0,2,0,0,1,0,2,1,1
Session_ID_300,Yes,22,14,0,0,0,1,1,0,4,1,1
Session_ID_301,No,23,3,3,5,0,4,1,2,4,2,1
Session_ID_302,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_303,No,20,9,0,3,0,1,1,0,6,1,1
Session_ID_304,No,11,1,0,2,2,1,0,1,3,0,1
Session_ID_305,No,14,0,0,3,1,1,2,0,0,0,0
Session_ID_306,No,21,2,4,4,0,0,3,0,4,2,1
Session_ID_307,Yes,15,4,0,6,0,1,4,0,0,1,1
Session_ID_308,No,9,3,0,2,0,1,1,0,2,1,1
Session_ID_309,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_310,No,6,1,0,2,0,1,0,0,2,0,1
Session_ID_311,No,5,0,0,2,0,1,1,0,1,0,1
Session_ID_312,Yes,15,4,0,9,0,1,0,0,1,1,1
Session_ID_313,Yes,8,1,0,1,0,1,0,0,2,0,1
Session_ID_314,Yes,3,1,0,1,0,0,1,0,0,0,1
Session_ID_315,Yes,13,1,0,0,0,0,1,0,5,0,1
Session_ID_316,No,31,0,0,3,0,1,3,0,10,0,1
Session_ID_317,Yes,9,3,0,1,1,2,2,0,0,1,0
Session_ID_318,No,9,0,0,2,0,1,2,0,1,0,1
Session_ID_319,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_320,Yes,13,4,0,0,0,0,1,0,4,1,1
Session_ID_321,No,10,1,0,1,0,1,7,0,0,0,1
Session_ID_322,No,13,2,0,0,2,1,2,1,3,0,0
Session_ID_323,Yes,32,7,10,1,0,0,1,0,10,2,1
Session_ID_324,No,27,14,0,4,1,1,6,0,0,1,0
Session_ID_325,No,16,1,1,2,0,0,5,0,5,0,1
Session_ID_326,No,13,7,0,1,0,1,3,0,1,1,1
Session_ID_327,No,13,4,0,2,0,1,3,0,0,1,1
Session_ID_328,No,14,8,0,1,1,1,1,1,1,1,0
Session_ID_329,No,14,7,0,1,0,1,4,0,1,1,1
Session_ID_330,No,5,0,0,1,0,1,2,0,1,0,1
Session_ID_331,No,20,8,0,1,0,1,3,0,3,1,1
Session_ID_332,Yes,10,1,0,1,0,0,3,0,1,0,1
Session_ID_333,No,4,0,0,1,0,2,1,0,0,0,1
Session_ID_334,No,1,0,0,0,0,1,0,0,0,0,1
Session_ID_335,No,6,1,0,2,0,1,0,0,2,0,1
Session_ID_336,No,12,5,0,1,0,0,2,0,4,1,1
Session_ID_337,Yes,21,6,5,2,0,0,1,0,6,2,1
Session_ID_338,No,31,9,0,3,1,1,6,1,2,1,0
Session_ID_339,No,5,1,0,0,0,1,1,0,2,0,1
Session_ID_340,No,8,4,0,0,0,1,1,0,2,1,1
Session_ID_341,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_342,No,13,7,2,1,0,0,1,0,2,2,1
Session_ID_343,No,33,0,0,1,1,1,0,0,1,0,0
Session_ID_344,No,11,6,0,1,0,1,1,0,2,1,1
Session_ID_345,No,6,1,0,2,0,1,0,0,2,0,1
Session_ID_346,No,6,2,0,0,0,0,2,0,2,0,1
Session_ID_347,No,17,9,0,0,1,1,3,1,2,1,0
Session_ID_348,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_349,No,8,0,0,1,0,0,2,0,4,0,1
Session_ID_350,No,32,5,9,2,0,1,4,0,6,2,1
Session_ID_351,No,38,0,0,14,8,8,5,0,3,0,0
Session_ID_352,No,3,0,0,0,1,1,0,1,0,0,0
Session_ID_353,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_354,Yes,13,8,0,1,0,1,1,0,2,1,1
Session_ID_355,No,7,4,0,0,0,1,1,0,1,1,1
Session_ID_356,No,75,17,11,10,0,5,5,1,16,2,1
Session_ID_357,Yes,2,1,0,0,0,0,0,0,0,0,1
Session_ID_358,No,9,5,0,0,0,1,1,0,2,1,1
Session_ID_359,No,26,3,6,5,0,5,1,0,6,2,1
Session_ID_360,No,7,3,0,0,1,1,1,1,0,1,1
Session_ID_361,No,13,1,0,3,1,2,1,1,4,0,0
Session_ID_362,No,9,1,0,1,0,1,1,0,4,0,1
Session_ID_363,No,5,1,0,0,0,1,1,0,2,0,1
Session_ID_364,No,59,17,5,11,1,2,4,0,17,2,1
Session_ID_365,No,13,2,0,0,2,3,2,0,4,0,0
Session_ID_366,No,5,0,0,1,0,1,0,0,2,0,1
Session_ID_367,No,19,4,1,3,1,3,1,1,3,1,0
Session_ID_368,Yes,12,0,0,0,0,0,0,0,2,0,1
Session_ID_369,No,5,1,0,0,0,1,1,0,2,0,1
Session_ID_370,No,12,8,0,0,0,1,1,0,2,1,1
Session_ID_371,No,14,7,0,2,0,0,2,0,1,1,1
Session_ID_372,No,43,28,6,2,0,2,0,1,4,2,1
Session_ID_373,Yes,6,0,1,1,0,1,0,0,3,0,1
Session_ID_374,No,12,4,0,3,0,1,2,0,2,1,1
Session_ID_375,No,11,5,0,1,0,1,3,0,1,1,1
Session_ID_376,No,5,0,0,2,0,0,2,0,1,0,1
Session_ID_377,No,50,10,33,1,0,2,0,0,4,2,1
Session_ID_378,No,11,6,0,1,0,1,1,0,1,1,1
Session_ID_379,No,4,0,0,0,1,1,1,1,0,0,0
Session_ID_380,No,2,0,0,1,0,0,0,0,1,0,1
Session_ID_381,No,7,1,0,2,1,1,0,0,2,0,0
Session_ID_382,Yes,22,10,0,3,0,0,6,0,0,1,1
Session_ID_383,No,1,0,0,1,0,0,0,0,0,0,1
Session_ID_384,No,13,7,0,0,0,1,3,1,1,1,1
Session_ID_385,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_386,No,15,0,0,1,0,0,3,0,1,0,1
Session_ID_387,Yes,8,2,0,0,0,0,1,0,5,0,1
Session_ID_388,Yes,13,5,2,2,0,1,1,0,2,2,1
Session_ID_389,Yes,13,6,0,0,0,1,1,0,3,1,1
Session_ID_390,No,15,0,0,6,0,0,9,0,0,0,1
Session_ID_391,No,10,4,0,1,0,1,1,0,3,1,1
Session_ID_392,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_393,No,11,6,0,1,0,0,2,0,1,1,1
Session_ID_394,No,18,4,2,3,0,2,1,1,3,2,1
Session_ID_395,No,12,3,0,0,1,1,1,1,4,1,0
Session_ID_396,No,10,1,0,1,0,2,0,1,3,0,1
Session_ID_397,Yes,2,1,0,0,0,0,0,0,1,0,1
Session_ID_398,No,6,1,0,2,0,1,0,0,2,0,1
Session_ID_399,No,8,3,0,1,0,1,2,0,1,1,1
Session_ID_400,No,14,1,0,4,1,3,0,0,5,0,0
Session_ID_401,Yes,6,2,0,0,0,0,2,0,0,0,1
Session_ID_402,No,8,2,0,1,1,1,0,1,1,0,0
Session_ID_403,Yes,8,2,2,1,0,1,0,0,2,2,1
Session_ID_404,No,8,5,0,1,0,0,1,0,1,1,1
Session_ID_405,No,24,0,0,1,1,2,6,0,4,0,0
Session_ID_406,No,11,4,0,0,1,1,2,1,1,1,0
Session_ID_407,No,2,0,0,1,0,0,1,0,0,0,1
Session_ID_408,No,10,0,0,2,0,0,1,0,1,0,1
Session_ID_409,No,12,5,1,0,1,1,1,1,1,1,0
Session_ID_410,No,5,1,0,1,0,0,2,0,0,0,1
Session_ID_411,No,10,0,0,2,0,1,1,0,2,0,1
Session_ID_412,No,16,11,0,0,0,1,1,0,3,1,1
Session_ID_413,No,8,0,0,0,0,1,2,0,2,0,1
Session_ID_414,Yes,6,2,0,0,0,0,1,0,2,0,1
Session_ID_415,Yes,7,2,0,0,0,0,2,0,1,0,1
Session_ID_416,No,29,16,0,2,1,2,3,1,3,1,0
Session_ID_417,No,11,3,0,2,0,0,1,0,3,1,1
Session_ID_418,No,6,0,0,3,0,2,1,0,0,0,1
Session_ID_419,No,4,0,0,1,0,2,1,0,0,0,1
Session_ID_420,No,15,2,0,1,0,1,3,1,3,0,1
